latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.21265,9.226619,243.0,7200,Europe/Berlin,GMT+2

time,snowfall_sum (cm),precipitation_sum (mm),weather_code (wmo code),precipitation_hours (h),cloud_cover_mean (%),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),wind_speed_10m_mean (km/h),shortwave_radiation_sum (MJ/m²),soil_temperature_0_to_100cm_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
2000-01-01,0.00,2.00,53,6.0,98,0.13,0.391,11.6,0.62,3.5,0.00,3.9,0.8,97,1.9
2000-01-02,0.00,0.00,3,0.0,85,0.22,0.395,10.8,2.65,3.6,18433.65,2.9,0.4,97,2.1
2000-01-03,0.00,0.00,3,0.0,100,0.20,0.398,17.1,1.91,3.7,6664.45,3.8,1.4,96,2.7
2000-01-04,0.00,7.70,53,18.0,99,0.14,0.402,17.3,0.43,3.8,0.00,6.3,2.2,95,4.1
2000-01-05,0.00,1.00,53,3.0,57,0.41,0.407,14.7,3.59,4.0,23930.29,6.2,1.3,87,3.2
2000-01-06,0.00,0.40,51,2.0,82,0.25,0.405,16.0,2.97,4.0,24039.77,4.5,2.6,95,3.7
2000-01-07,0.00,0.20,51,1.0,88,0.27,0.404,12.2,2.02,4.3,10290.49,6.2,4.0,94,5.1
2000-01-08,0.00,0.50,51,3.0,81,0.25,0.402,14.3,1.57,4.3,8269.71,4.5,2.3,92,3.6
2000-01-09,0.00,0.60,51,4.0,100,0.21,0.402,6.6,1.45,4.5,123.80,4.9,2.0,96,4.1
2000-01-10,0.00,0.00,3,0.0,94,0.28,0.401,4.5,2.53,4.2,10196.31,2.5,-0.1,89,1.3
2000-01-11,0.00,0.00,3,0.0,64,0.34,0.399,7.3,4.08,3.8,21529.19,2.8,-2.5,89,-0.1
2000-01-12,0.00,0.00,3,0.0,88,0.30,0.397,13.1,2.99,3.5,22348.37,1.3,-1.1,91,0.1
2000-01-13,0.00,0.00,3,0.0,92,0.41,0.395,13.5,3.65,3.3,24485.13,0.9,-2.2,83,-0.8
2000-01-14,0.00,0.00,3,0.0,94,0.23,0.394,7.7,1.72,3.1,561.77,2.3,-0.8,92,0.5
2000-01-15,0.07,0.00,71,0.0,91,0.22,0.392,6.2,1.21,3.0,0.00,2.0,-0.5,91,0.5
2000-01-16,0.28,0.30,71,3.0,94,0.21,0.391,12.0,0.77,2.9,0.00,3.1,-1.0,89,0.9
2000-01-17,0.00,0.20,51,2.0,100,0.20,0.391,26.8,0.94,3.2,0.00,5.5,3.1,95,4.6
2000-01-18,0.00,1.80,51,7.0,73,0.44,0.392,27.1,2.20,3.6,12679.36,5.1,1.3,88,4.1
2000-01-19,0.00,0.00,3,0.0,49,0.48,0.391,13.6,3.74,3.3,23477.68,2.6,-0.5,82,0.6
2000-01-20,0.14,2.10,71,12.0,88,0.35,0.389,18.5,0.96,3.0,0.00,2.9,-0.5,88,1.4
2000-01-21,0.00,4.90,53,16.0,81,0.36,0.390,20.2,2.70,3.1,19005.30,3.1,-0.4,90,2.1
2000-01-22,4.41,8.10,75,18.0,99,0.21,0.390,12.3,1.69,3.0,81.22,2.0,-0.3,93,1.1
2000-01-23,0.91,0.90,73,4.0,64,0.37,0.390,10.6,3.95,2.9,15496.19,0.8,-6.9,85,-1.7
2000-01-24,0.00,0.00,3,0.0,42,0.44,0.389,4.3,5.55,2.6,25510.35,-3.5,-9.2,60,-5.8
2000-01-25,0.00,0.00,3,0.0,11,0.40,0.388,6.8,5.70,2.4,26250.97,-2.6,-10.5,72,-6.6
2000-01-26,0.42,0.00,71,0.0,90,0.28,0.387,14.8,1.47,2.2,0.00,0.6,-10.5,85,-3.9
2000-01-27,0.00,0.00,3,0.0,77,0.43,0.386,15.8,3.91,2.1,21857.15,1.6,-2.0,86,-0.3
2000-01-28,0.00,0.00,3,0.0,81,0.80,0.385,18.9,5.49,2.0,25256.68,1.6,-4.2,72,-1.4
2000-01-29,0.28,11.70,71,20.0,99,0.33,0.389,30.2,0.64,1.9,0.00,7.2,1.4,91,4.0
2000-01-30,0.00,9.90,63,16.0,69,0.67,0.405,23.7,4.85,2.0,25538.15,8.3,3.9,87,6.0
2000-01-31,0.00,3.40,53,15.0,100,0.41,0.407,27.0,1.06,2.3,0.00,8.3,6.8,91,7.6
2000-02-01,0.00,0.00,3,0.0,100,0.48,0.405,17.2,3.15,2.9,15245.42,7.8,5.4,90,6.2
2000-02-02,0.00,1.30,53,4.0,89,0.28,0.404,17.4,0.85,3.3,1834.15,6.3,3.8,91,5.5
2000-02-03,0.00,3.10,51,15.0,70,0.51,0.403,19.1,4.17,3.4,23157.27,5.9,2.2,89,4.0
2000-02-04,0.00,0.60,51,3.0,93,0.30,0.401,17.2,1.39,3.5,0.00,6.0,2.3,92,4.2
2000-02-05,0.00,0.00,3,0.0,45,0.97,0.400,16.7,6.12,3.9,26898.71,11.4,5.1,81,7.2
2000-02-06,0.00,0.00,3,0.0,99,1.04,0.398,14.1,5.62,4.3,22381.31,9.9,5.3,76,7.0
2000-02-07,0.00,2.10,53,6.0,93,0.87,0.397,20.1,4.68,4.7,18000.00,7.8,4.9,82,6.9
2000-02-08,0.00,5.90,61,11.0,97,0.62,0.397,26.0,2.28,4.9,3338.49,10.7,4.9,88,7.6
2000-02-09,0.21,1.40,71,8.0,75,0.91,0.399,27.9,4.42,4.8,14296.81,6.7,1.6,80,3.7
2000-02-10,0.00,4.10,55,5.0,78,1.03,0.398,20.3,7.56,4.6,27314.12,7.4,2.0,81,4.4
2000-02-11,0.00,0.80,53,2.0,47,0.78,0.400,12.9,7.05,4.6,30642.71,5.5,-0.5,82,2.9
2000-02-12,0.28,2.30,71,5.0,32,0.87,0.398,16.6,7.84,4.0,31096.76,4.1,-2.2,82,0.7
2000-02-13,0.07,5.10,71,17.0,60,0.59,0.399,17.7,5.21,3.9,24941.48,5.5,1.6,88,3.0
2000-02-14,0.00,0.00,3,0.0,83,0.79,0.399,15.5,5.14,3.8,28985.95,4.7,1.0,78,2.4
2000-02-15,0.00,2.70,53,9.0,97,0.31,0.400,14.2,2.09,4.1,7070.05,6.5,2.1,94,5.2
2000-02-16,0.35,3.80,71,13.0,82,0.83,0.402,19.5,7.13,4.1,27746.62,3.8,-0.7,83,2.4
2000-02-17,2.17,3.00,73,11.0,77,0.70,0.401,14.5,6.46,3.6,23604.88,2.7,-0.9,82,0.5
2000-02-18,2.03,2.70,73,9.0,92,0.37,0.400,16.3,3.18,3.3,603.73,1.9,-0.4,89,0.7
2000-02-19,0.35,4.10,71,17.0,88,0.44,0.401,12.0,3.75,3.3,10800.00,4.8,1.0,92,2.4
2000-02-20,2.10,3.60,73,10.0,63,0.64,0.401,15.4,7.08,3.2,26811.91,2.0,-4.3,86,0.3
2000-02-21,0.07,0.00,71,0.0,75,0.59,0.400,6.8,5.85,2.8,17941.39,1.8,-4.3,81,-1.6
2000-02-22,0.77,1.50,73,8.0,80,0.67,0.399,12.3,5.93,2.7,19701.56,4.4,-3.1,84,0.9
2000-02-23,0.00,0.00,3,0.0,75,0.65,0.399,6.7,6.18,2.6,27975.43,4.6,-1.8,87,1.2
2000-02-24,0.00,3.60,55,9.0,95,0.22,0.401,15.3,0.84,2.6,0.00,6.8,1.6,94,3.9
2000-02-25,3.64,17.10,75,12.0,80,0.62,0.412,12.0,4.78,3.0,12112.59,7.6,1.4,88,4.3
2000-02-26,0.00,0.00,3,0.0,54,0.89,0.412,9.4,7.75,2.8,33394.49,6.4,-2.4,81,1.6
2000-02-27,0.00,0.00,3,0.0,32,1.18,0.410,15.1,10.66,2.6,33895.83,8.4,-2.1,82,3.0
2000-02-28,0.00,4.20,61,5.0,93,1.51,0.408,24.6,9.13,3.3,27419.85,13.6,5.0,81,7.9
2000-02-29,0.00,1.50,53,6.0,97,0.96,0.409,21.0,7.15,3.7,17684.81,7.7,3.3,84,5.3
2000-03-01,0.00,7.70,61,15.0,93,0.79,0.411,17.8,6.77,3.9,23799.88,6.3,2.3,88,4.7
2000-03-02,0.00,0.10,51,1.0,80,1.40,0.409,21.4,9.14,3.8,31079.00,5.1,0.7,71,2.8
2000-03-03,0.00,11.50,61,19.0,95,0.47,0.411,27.1,1.47,3.8,583.68,7.0,1.6,89,4.1
2000-03-04,1.12,1.90,73,8.0,81,1.00,0.414,21.9,9.78,3.6,31482.09,2.9,-1.3,80,1.0
2000-03-05,0.42,0.60,71,4.0,74,1.16,0.411,17.8,9.48,3.2,34118.86,3.5,-2.4,73,0.5
2000-03-06,0.00,0.00,3,0.0,75,1.44,0.408,18.1,10.91,3.3,32147.07,7.3,1.3,75,3.8
2000-03-07,0.00,0.80,51,3.0,97,1.18,0.406,23.0,4.54,3.9,5326.94,10.3,4.1,78,6.8
2000-03-08,0.00,7.20,61,8.0,100,0.40,0.407,23.9,1.09,4.5,0.00,10.5,7.2,92,8.5
2000-03-09,0.00,7.10,53,16.0,95,1.10,0.408,29.8,5.30,5.2,16370.73,11.7,8.0,86,10.1
2000-03-10,0.00,1.30,53,4.0,96,1.01,0.407,13.7,6.34,5.1,9298.35,7.4,1.9,76,4.4
2000-03-11,0.00,7.90,61,16.0,86,1.07,0.407,23.9,7.27,5.2,25921.04,9.1,5.5,86,7.3
2000-03-12,0.00,0.00,3,0.0,94,0.83,0.406,8.3,5.40,5.2,5593.02,7.3,2.8,80,5.1
2000-03-13,0.00,0.50,51,4.0,83,1.26,0.403,9.3,7.73,5.2,19012.82,10.7,1.6,80,6.4
2000-03-14,0.00,7.50,61,14.0,95,0.50,0.403,19.5,2.61,5.6,0.00,10.0,3.2,93,7.3
2000-03-15,0.35,2.80,71,13.0,70,1.48,0.406,23.4,11.91,5.2,36060.41,5.4,0.4,75,2.7
2000-03-16,0.00,2.20,53,7.0,92,1.21,0.405,23.9,8.85,5.1,30856.64,6.9,3.0,81,5.0
2000-03-17,0.00,1.50,51,9.0,100,0.43,0.404,20.8,1.50,5.3,0.00,7.1,5.0,92,6.0
2000-03-18,0.00,6.50,51,21.0,100,0.37,0.405,16.2,2.01,5.3,0.00,6.7,3.9,95,5.2
2000-03-19,0.00,0.00,3,0.0,95,1.22,0.405,11.0,10.27,5.2,25612.81,6.8,2.6,82,4.4
2000-03-20,0.00,0.00,3,0.0,77,1.73,0.403,7.0,13.41,5.2,29449.64,10.7,0.8,76,5.2
2000-03-21,0.00,0.00,3,0.0,44,1.85,0.400,3.7,14.60,5.3,39600.00,11.9,-0.3,80,5.3
2000-03-22,0.00,0.00,3,0.0,12,2.22,0.397,5.7,16.38,5.3,39602.59,14.7,1.2,74,7.6
2000-03-23,0.00,0.00,3,0.0,59,2.26,0.394,5.4,15.88,5.7,38786.20,14.4,1.9,75,8.3
2000-03-24,0.00,6.30,61,16.0,96,1.30,0.393,9.6,7.97,6.0,20649.23,14.1,4.4,83,8.8
2000-03-25,0.00,7.50,61,16.0,96,1.39,0.394,10.8,10.21,6.5,30863.18,12.8,6.3,86,9.3
2000-03-26,0.00,5.80,55,16.0,96,1.38,0.396,8.5,10.93,6.4,27015.40,9.5,4.0,85,6.5
2000-03-27,0.00,2.80,53,10.0,86,1.51,0.396,7.4,12.63,6.2,31124.68,10.2,2.0,86,5.6
2000-03-28,0.28,1.80,71,9.0,99,0.65,0.396,11.0,4.19,5.9,0.00,4.0,2.0,85,3.0
2000-03-29,0.00,0.70,51,3.0,100,0.54,0.395,15.0,3.70,5.7,0.00,6.8,1.9,94,4.7
2000-03-30,0.00,0.20,51,2.0,100,0.77,0.396,15.8,5.34,5.8,0.00,7.5,5.0,89,6.1
2000-03-31,0.00,0.80,51,5.0,97,1.15,0.396,7.3,8.47,5.8,19163.45,8.5,3.8,84,5.9
2000-04-01,0.00,1.90,53,7.0,88,1.31,0.396,8.3,11.11,5.7,26288.35,8.6,-0.2,87,4.7
2000-04-02,0.00,0.00,3,0.0,72,1.49,0.395,9.9,10.18,5.7,24576.68,11.6,1.4,80,6.5
2000-04-03,0.00,0.00,3,0.0,47,2.83,0.392,12.0,18.86,6.0,39600.00,16.4,1.5,69,8.9
2000-04-04,0.00,2.10,53,6.0,86,2.14,0.391,11.6,13.37,6.5,29034.21,14.5,6.2,72,10.4
2000-04-05,0.00,0.50,51,2.0,96,1.32,0.389,15.2,9.00,6.6,16080.59,8.5,2.8,77,5.6
2000-04-06,0.00,0.00,2,0.0,9,2.54,0.387,11.3,20.14,6.1,43155.52,7.7,-0.6,55,3.6
2000-04-07,0.00,0.00,3,0.0,63,2.04,0.384,11.3,14.44,6.0,33390.68,10.1,-0.7,70,5.1
2000-04-08,0.00,0.00,3,0.0,79,1.82,0.382,4.5,13.06,6.1,26505.24,10.9,0.4,73,5.9
2000-04-09,0.00,1.10,53,3.0,75,2.13,0.379,11.2,14.98,6.2,42614.88,10.9,1.7,71,6.7
2000-04-10,0.00,0.00,3,0.0,40,2.24,0.377,10.3,16.59,6.2,41500.25,10.1,0.6,67,5.5
2000-04-11,0.00,0.00,3,0.0,71,2.42,0.374,8.1,16.05,6.3,43317.14,12.4,1.3,64,7.0
2000-04-12,0.00,4.50,55,10.0,82,1.64,0.375,14.3,11.92,6.4,22821.83,8.5,3.5,76,6.3
2000-04-13,0.07,2.80,71,10.0,85,2.29,0.376,19.7,16.73,6.3,38416.79,10.3,2.6,72,6.0
2000-04-14,0.00,3.40,53,12.0,86,1.56,0.375,13.0,11.83,6.4,19464.80,9.2,4.8,82,6.8
2000-04-15,0.00,4.90,55,14.0,91,1.45,0.376,12.6,9.26,6.5,15452.37,12.2,3.2,84,7.6
2000-04-16,0.00,0.00,3,0.0,73,2.51,0.375,15.1,16.18,6.7,34481.76,12.9,4.8,67,8.4
2000-04-17,0.00,0.30,51,2.0,95,2.32,0.373,13.8,14.11,7.1,37141.70,13.6,7.3,71,10.2
2000-04-18,0.00,0.00,3,0.0,100,2.33,0.370,11.2,14.12,7.5,33644.11,13.6,6.5,69,10.2
2000-04-19,0.00,4.70,61,10.0,82,1.64,0.371,5.4,9.68,7.7,19093.17,15.0,7.5,79,10.7
2000-04-20,0.00,0.00,0,0.0,3,3.04,0.369,8.6,19.21,7.9,46516.48,17.5,4.1,73,11.6
2000-04-21,0.00,0.10,51,1.0,57,3.24,0.366,9.7,18.67,8.4,32465.28,20.2,6.0,72,14.0
2000-04-22,0.00,0.50,53,1.0,74,3.25,0.364,10.5,16.60,9.1,30104.43,23.0,9.5,72,15.8
2000-04-23,0.00,0.00,3,0.0,96,3.24,0.360,7.8,18.10,9.7,38449.11,20.8,10.9,71,16.3
2000-04-24,0.00,9.90,55,18.0,91,0.88,0.363,13.2,4.84,9.8,347.53,13.8,9.1,88,11.2
2000-04-25,0.00,0.00,3,0.0,50,3.22,0.364,6.5,22.99,9.4,47056.95,16.3,4.9,79,10.3
2000-04-26,0.00,0.00,2,0.0,20,3.80,0.361,12.1,23.28,9.7,47428.71,21.5,5.6,74,14.0
2000-04-27,0.00,0.00,3,0.0,71,4.33,0.357,10.9,23.00,10.5,46800.00,23.7,9.1,71,17.1
2000-04-28,0.00,0.00,3,0.0,52,4.26,0.354,12.2,23.35,11.3,47706.57,24.6,11.5,72,18.3
2000-04-29,0.00,5.90,55,9.0,82,1.73,0.355,7.6,11.01,11.5,18010.60,17.1,12.9,90,15.1
2000-04-30,0.00,1.30,51,5.0,100,1.26,0.359,5.9,6.55,11.5,1309.35,17.7,11.9,90,14.4
2000-05-01,0.00,1.50,53,6.0,94,1.60,0.360,10.3,8.66,11.7,6788.10,18.8,13.1,89,15.3
2000-05-02,0.00,5.50,63,6.0,89,2.31,0.360,10.1,13.60,11.9,20282.80,20.6,12.6,87,15.6
2000-05-03,0.00,0.00,3,0.0,65,4.01,0.361,6.6,23.34,12.2,44979.69,21.8,9.4,70,16.1
2000-05-04,0.00,0.00,3,0.0,34,4.32,0.357,8.0,24.69,12.5,47886.90,21.7,9.9,65,16.1
2000-05-05,0.00,0.00,1,0.0,8,4.22,0.353,9.3,23.28,12.6,49297.45,21.8,8.9,63,16.0
2000-05-06,0.00,0.00,0,0.0,1,4.72,0.349,11.6,25.14,12.9,49500.00,22.4,10.0,63,17.2
2000-05-07,0.00,0.30,51,1.0,27,4.23,0.346,10.9,23.05,13.2,45702.97,23.0,12.5,69,17.8
2000-05-08,0.00,0.60,51,3.0,56,3.41,0.344,6.0,19.67,13.4,47837.87,22.0,11.6,78,17.2
2000-05-09,0.00,5.10,61,6.0,58,3.54,0.344,4.5,20.73,13.7,44184.24,22.6,11.6,85,17.0
2000-05-10,0.00,0.00,3,0.0,36,4.11,0.347,5.5,22.62,13.9,48887.35,23.7,12.1,75,18.5
2000-05-11,0.00,0.00,3,0.0,57,4.59,0.344,8.9,24.88,14.2,48629.22,24.2,13.0,69,19.1
2000-05-12,0.00,0.00,3,0.0,34,4.39,0.340,11.8,24.59,14.4,50401.24,21.5,13.1,66,17.2
2000-05-13,0.00,0.00,0,0.0,0,4.67,0.336,10.9,26.86,14.1,51105.52,19.7,9.7,55,14.8
2000-05-14,0.00,0.00,0,0.0,0,4.83,0.332,7.4,26.76,14.1,51354.98,23.3,9.0,59,16.7
2000-05-15,0.00,0.00,0,0.0,0,5.08,0.328,6.4,26.53,14.4,51468.34,24.6,13.8,54,19.3
2000-05-16,0.00,0.00,3,0.0,52,4.97,0.324,8.5,23.80,14.6,51146.42,25.3,14.2,54,20.2
2000-05-17,0.00,5.20,63,5.0,68,3.34,0.322,12.6,18.48,14.8,45958.45,20.9,14.1,71,17.4
2000-05-18,0.00,5.90,63,5.0,68,2.60,0.322,11.5,15.28,14.3,36473.84,14.7,10.1,68,12.5
2000-05-19,0.00,5.20,61,12.0,71,2.49,0.323,12.3,17.73,13.6,43236.25,13.8,7.8,79,10.6
2000-05-20,0.00,6.60,53,19.0,78,2.22,0.325,12.6,16.53,13.0,38714.38,13.1,6.4,84,9.6
2000-05-21,0.00,4.60,53,11.0,83,2.13,0.326,7.9,15.06,12.6,23798.99,13.5,5.3,85,9.7
2000-05-22,0.00,4.20,55,16.0,83,2.17,0.329,10.0,15.17,12.4,35703.85,14.9,8.1,86,11.0
2000-05-23,0.00,0.10,51,1.0,81,2.84,0.329,9.7,16.96,12.3,44047.37,16.6,6.8,75,12.5
2000-05-24,0.00,1.70,51,7.0,96,1.53,0.327,11.5,5.56,12.4,0.00,16.8,10.4,77,13.7
2000-05-25,0.00,1.30,51,7.0,89,1.47,0.327,16.8,6.70,12.4,9482.55,15.7,11.0,83,13.8
2000-05-26,0.00,0.00,3,0.0,71,3.72,0.326,10.9,23.16,12.3,45910.29,18.1,7.1,68,12.8
2000-05-27,0.00,2.30,53,7.0,69,2.80,0.324,17.6,15.70,12.5,25601.90,15.4,10.6,69,13.6
2000-05-28,0.00,1.40,53,4.0,73,2.96,0.323,23.0,15.58,12.2,34342.08,15.3,8.8,67,11.7
2000-05-29,0.00,2.50,55,9.0,71,3.16,0.322,18.8,20.10,11.9,49588.00,13.5,7.7,67,10.1
2000-05-30,0.00,2.70,55,9.0,79,2.66,0.321,9.0,18.00,11.7,34677.99,14.0,6.4,76,9.9
2000-05-31,0.00,1.10,51,5.0,67,3.47,0.320,4.9,24.25,11.7,51911.89,15.6,5.1,79,11.2
2000-06-01,0.00,0.00,3,0.0,87,2.76,0.318,12.2,15.02,11.9,23234.65,18.7,8.1,75,14.0
2000-06-02,0.00,0.00,1,0.0,10,4.61,0.316,10.8,25.53,12.6,53506.21,24.7,11.1,73,18.5
2000-06-03,0.00,4.40,63,3.0,49,4.43,0.313,6.0,24.25,13.5,47194.47,25.9,13.0,79,19.7
2000-06-04,0.00,6.60,63,6.0,80,3.39,0.314,10.4,19.26,14.0,43142.68,22.7,14.6,84,19.0
2000-06-05,0.00,12.90,63,16.0,98,2.23,0.318,7.4,11.53,14.2,10297.48,24.0,15.2,86,18.5
2000-06-06,0.00,0.30,51,2.0,84,2.60,0.322,17.8,13.45,14.0,26123.67,17.0,11.2,73,13.8
2000-06-07,0.00,5.00,55,13.0,72,2.25,0.322,13.6,14.34,13.6,34675.25,15.8,9.9,81,12.7
2000-06-08,0.00,0.00,3,0.0,53,3.85,0.320,6.3,23.48,13.5,53792.96,18.9,8.8,71,13.9
2000-06-09,0.00,0.00,0,0.0,1,5.55,0.317,13.2,27.64,14.1,53833.51,26.8,10.6,63,19.4
2000-06-10,0.00,0.00,2,0.0,26,5.00,0.313,8.4,24.27,14.9,50971.03,27.9,15.4,67,21.6
2000-06-11,0.00,6.40,61,7.0,96,2.85,0.311,10.1,15.94,15.2,29008.83,20.5,15.2,81,17.9
2000-06-12,0.00,0.00,3,0.0,64,4.18,0.311,10.0,24.43,15.0,53943.77,21.5,11.2,70,16.6
2000-06-13,0.00,0.00,1,0.0,7,5.24,0.307,7.8,27.60,15.3,53976.45,26.2,13.6,68,20.2
2000-06-14,0.00,0.00,3,0.0,79,3.18,0.304,9.5,15.20,15.7,32976.38,22.6,14.1,75,18.9
2000-06-15,0.00,2.50,53,9.0,75,2.79,0.303,15.1,14.65,15.6,31573.99,17.5,13.8,76,16.2
2000-06-16,0.00,0.00,3,0.0,66,3.35,0.301,15.6,17.30,15.0,45491.14,15.1,9.2,60,12.2
2000-06-17,0.00,0.00,3,0.0,29,3.90,0.299,5.4,24.82,14.5,52612.87,17.2,6.1,63,11.9
2000-06-18,0.00,0.00,3,0.0,17,5.20,0.295,8.0,27.22,14.7,54000.00,25.7,8.2,57,17.8
2000-06-19,0.00,0.00,0,0.0,0,6.12,0.292,8.5,28.40,15.5,54055.02,29.6,13.9,51,22.9
2000-06-20,0.00,0.00,0,0.0,2,6.50,0.287,8.9,28.23,16.2,54055.29,30.7,17.4,48,24.6
2000-06-21,0.00,0.00,3,0.0,28,6.17,0.283,10.5,26.09,16.9,52610.54,29.3,17.3,52,24.1
2000-06-22,0.00,0.80,51,3.0,57,3.87,0.281,11.7,18.54,17.1,40221.62,22.2,18.0,66,20.0
2000-06-23,0.00,1.30,53,5.0,47,3.89,0.279,13.4,19.69,16.7,54000.00,19.3,14.4,61,16.9
2000-06-24,0.00,7.60,61,14.0,81,2.81,0.280,13.1,15.17,16.2,30253.41,16.5,11.7,72,13.9
2000-06-25,0.00,4.10,61,9.0,82,2.88,0.281,15.1,18.29,15.7,42503.98,16.4,10.6,78,12.9
2000-06-26,0.00,0.50,51,3.0,64,3.13,0.281,18.1,17.88,15.2,48712.37,14.6,8.8,68,11.7
2000-06-27,0.00,0.00,3,0.0,74,2.98,0.279,16.4,15.25,14.7,35724.90,15.0,7.6,63,11.6
2000-06-28,0.00,0.00,3,0.0,64,2.95,0.277,11.9,16.31,14.4,32268.88,15.2,5.9,65,11.1
2000-06-29,0.00,0.10,51,1.0,77,2.73,0.276,12.6,13.87,14.1,34211.41,14.8,8.3,63,11.7
2000-06-30,0.00,0.00,3,0.0,64,3.36,0.274,12.7,19.30,14.0,39252.52,17.8,8.6,68,13.1
2000-07-01,0.00,3.00,55,7.0,70,2.71,0.274,5.3,15.26,14.2,41029.65,22.1,9.3,80,15.9
2000-07-02,0.00,0.30,51,3.0,98,2.45,0.276,5.4,13.07,14.7,17548.30,22.3,12.6,86,17.6
2000-07-03,0.00,13.20,61,18.0,91,2.39,0.284,6.2,12.59,15.1,11347.82,22.6,16.3,86,18.7
2000-07-04,0.00,3.40,55,4.0,97,2.90,0.291,5.9,15.85,15.3,25433.34,21.7,12.4,85,17.0
2000-07-05,0.00,20.40,61,20.0,90,2.30,0.307,16.5,12.53,15.2,21019.72,19.2,13.8,85,15.7
2000-07-06,0.00,0.40,51,4.0,70,2.94,0.311,10.4,17.57,15.2,43654.62,19.6,13.0,81,16.0
2000-07-07,0.00,2.90,53,10.0,95,1.86,0.313,11.0,9.82,15.1,6930.60,18.2,12.2,83,15.0
2000-07-08,0.00,4.00,53,10.0,95,2.21,0.324,14.2,12.47,14.6,19004.34,14.9,9.1,77,12.0
2000-07-09,0.00,2.80,53,11.0,86,2.00,0.325,16.0,12.06,14.3,22278.68,15.7,10.6,83,12.6
2000-07-10,0.00,8.00,61,12.0,70,2.94,0.330,17.8,18.09,14.3,42334.43,17.8,12.0,81,14.5
2000-07-11,0.00,5.00,61,8.0,75,2.29,0.331,18.0,13.33,14.3,27848.31,16.8,10.9,81,13.4
2000-07-12,0.00,0.10,51,1.0,67,2.86,0.332,17.4,17.60,14.1,45505.25,14.8,10.4,74,12.4
2000-07-13,0.00,3.60,53,14.0,80,1.61,0.331,14.2,9.67,13.7,11741.37,14.3,8.4,84,11.7
2000-07-14,0.00,9.60,61,20.0,93,1.97,0.336,13.4,12.70,13.7,21474.09,15.4,11.1,87,13.0
2000-07-15,0.00,2.30,51,9.0,80,2.56,0.339,11.8,17.76,13.6,38080.98,15.1,9.2,83,11.9
2000-07-16,0.00,0.20,51,1.0,79,2.67,0.339,9.1,16.44,13.6,41815.25,16.2,9.0,78,12.7
2000-07-17,0.00,0.50,51,4.0,99,2.42,0.338,11.8,13.46,13.6,18615.77,17.0,9.5,80,13.3
2000-07-18,0.00,0.00,3,0.0,97,2.04,0.336,12.9,9.64,13.6,3004.17,15.7,11.3,77,13.3
2000-07-19,0.00,0.30,51,2.0,91,1.80,0.335,18.0,7.90,13.5,10057.15,16.3,10.6,79,13.1
2000-07-20,0.00,0.00,3,0.0,65,3.00,0.334,15.8,15.18,13.6,30855.11,18.8,9.8,73,14.7
2000-07-21,0.00,0.00,3,0.0,83,2.70,0.332,14.8,13.86,13.8,25264.82,18.5,11.6,73,14.5
2000-07-22,0.00,0.50,51,2.0,83,1.58,0.330,9.2,8.15,13.8,14204.80,17.2,11.2,83,14.1
2000-07-23,0.00,0.10,51,1.0,64,3.18,0.329,5.0,18.01,14.0,38109.93,20.8,9.7,80,15.7
2000-07-24,0.00,7.20,61,9.0,82,1.67,0.330,10.0,9.82,14.2,11720.13,19.7,12.5,87,16.0
2000-07-25,0.00,6.20,61,12.0,79,1.43,0.338,12.4,9.08,14.3,20258.11,17.6,14.4,93,15.6
2000-07-26,0.00,0.20,51,2.0,99,2.59,0.340,12.0,12.97,14.6,21841.43,20.1,14.0,79,16.7
2000-07-27,0.00,4.00,55,8.0,94,2.39,0.339,8.3,12.69,14.8,17141.20,20.2,12.7,82,16.4
2000-07-28,0.00,5.90,61,16.0,93,1.72,0.343,13.5,9.99,14.8,21664.59,17.9,13.4,89,15.2
2000-07-29,0.00,0.40,51,4.0,76,2.53,0.346,11.6,14.70,14.9,35569.90,19.1,13.1,84,15.8
2000-07-30,0.00,3.20,61,7.0,68,3.05,0.346,11.1,18.34,15.0,43642.84,19.9,12.6,83,16.1
2000-07-31,0.00,0.50,51,4.0,79,3.25,0.347,7.6,18.02,15.2,39939.37,21.3,12.6,78,16.9
2000-08-01,0.00,0.00,3,0.0,21,3.70,0.345,9.1,19.38,15.4,48671.41,24.0,11.5,72,18.9
2000-08-02,0.00,9.60,63,7.0,55,2.80,0.345,11.5,15.03,15.7,30479.04,21.2,14.4,78,17.8
2000-08-03,0.00,7.30,63,9.0,60,2.84,0.347,9.5,16.94,15.6,47407.22,20.5,12.5,79,16.2
2000-08-04,0.00,1.80,55,5.0,37,3.46,0.348,7.1,21.43,15.7,48936.42,20.4,10.6,84,15.9
2000-08-05,0.00,0.10,51,1.0,38,2.94,0.348,7.6,16.53,15.6,43594.93,20.3,10.6,77,16.0
2000-08-06,0.00,0.00,3,0.0,64,2.95,0.345,8.2,15.58,15.7,32308.33,21.0,11.5,74,16.6
2000-08-07,0.00,0.20,51,2.0,75,2.55,0.343,12.6,13.39,15.8,30823.62,19.3,14.9,77,16.7
